ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_pct
2022-01-01,4624.263812227602,4804.383023011731,5981.7562015016965,4623.3254189159625,4625.220917993661,752.2519017660813,752.2519017660813,752.2519017660813,752.2519017660813,752.2519017660813,752.2519017660813,0.0,0.0,0.0,5376.515713993684,21.882106354769423
2023-01-01,4736.12448652944,4884.444776745026,6091.640850663024,4734.873772498855,4737.361568067501,770.6374492967889,770.6374492967889,770.6374492967889,770.6374492967889,770.6374492967889,770.6374492967889,0.0,0.0,0.0,5506.761935826229,21.54481306230054
2024-01-01,4847.985160831279,5051.029507554446,6261.224321273561,4846.368791031137,4849.548953228257,809.704468427797,809.704468427797,809.704468427797,809.704468427797,809.704468427797,809.704468427797,0.0,0.0,0.0,5657.689629259076,21.844525421213255
2025-01-01,4960.152302733945,5136.492886318564,6301.864213933354,4958.1488080533445,4962.103756591431,754.5628921303323,754.5628921303323,754.5628921303323,754.5628921303323,754.5628921303323,754.5628921303323,0.0,0.0,0.0,5714.715194864278,22.09375551935956
2026-01-01,5072.012977035784,5184.653853072208,6405.434542945778,5069.649954606505,5074.342243248228,752.2519017660501,752.2519017660501,752.2519017660501,752.2519017660501,752.2519017660501,752.2519017660501,0.0,0.0,0.0,5824.264878801834,22.513898946342156
2027-01-01,5183.873651337623,5304.607913673871,6541.907227971602,5181.160559262488,5186.5801446882515,770.6374492966887,770.6374492966887,770.6374492966887,770.6374492966887,770.6374492966887,770.6374492966887,0.0,0.0,0.0,5954.511100634312,22.60371927236283
2028-01-01,5295.7343256394615,5516.780581555657,6691.682103877625,5292.617180914026,5298.85279693788,809.7044684280634,809.7044684280634,809.7044684280634,809.7044684280634,809.7044684280634,809.7044684280634,0.0,0.0,0.0,6105.438794067525,22.76749047936761
2029-01-01,5407.901467542128,5579.014920019003,6766.290047952983,5404.265505086493,5411.409517966159,754.5628921301374,754.5628921301374,754.5628921301374,754.5628921301374,754.5628921301374,754.5628921301374,0.0,0.0,0.0,6162.464359672265,22.581488360202176
2030-01-01,5519.762141843968,5654.123864925919,6855.850953531757,5515.682421607945,5523.745085101934,752.251901765928,752.251901765928,752.251901765928,752.251901765928,752.251901765928,752.251901765928,0.0,0.0,0.0,6272.014043609895,22.59101497300822
2031-01-01,5631.622816145806,5788.172550872568,7014.353637893108,5627.040726260332,5636.098484863357,770.6374492967329,770.6374492967329,770.6374492967329,770.6374492967329,770.6374492967329,770.6374492967329,0.0,0.0,0.0,6402.260265442539,22.673518649602823
2032-01-01,5743.483490447646,5953.243538392817,7122.258640749105,5738.350992606107,5748.400436696668,809.7044684282116,809.7044684282116,809.7044684282116,809.7044684282116,809.7044684282116,809.7044684282116,0.0,0.0,0.0,6553.1879588758575,22.825336833169835
2033-01-01,5855.65063235031,6036.279264741857,7188.125638809059,5849.994289461425,5861.01771886439,754.5628921303388,754.5628921303388,754.5628921303388,754.5628921303388,754.5628921303388,754.5628921303388,0.0,0.0,0.0,6610.213524480649,22.650465682443095
2034-01-01,5967.51130665215,6132.593611544356,7380.595888318913,5961.3126942010595,5973.38618759438,752.2519017660982,752.2519017660982,752.2519017660982,752.2519017660982,752.2519017660982,752.2519017660982,0.0,0.0,0.0,6719.763208418248,22.658282904868383
2035-01-01,6079.371980953989,6232.199862548367,7465.282022360649,6072.615142371553,6085.873154394853,770.6374492966329,770.6374492966329,770.6374492966329,770.6374492966329,770.6374492966329,770.6374492966329,0.0,0.0,0.0,6850.009430250622,22.73454435910029
2036-01-01,6191.232655255827,6376.198579400341,7653.657673286654,6183.95834841178,6198.23029922674,809.7044684285482,809.7044684285482,809.7044684285482,809.7044684285482,809.7044684285482,809.7044684285482,0.0,0.0,0.0,7000.937123684375,22.876024474565735
2037-01-01,6303.399797158494,6469.32109909111,7618.670603772094,6295.5656334037185,6311.065373535915,754.5628921301543,754.5628921301543,754.5628921301543,754.5628921301543,754.5628921301543,754.5628921301543,0.0,0.0,0.0,7057.962689288648,22.71103682856448
2038-01-01,6415.260471460332,6557.794396331795,7762.253047968872,6406.732770110723,6423.5567854277215,752.2519017660306,752.2519017660306,752.2519017660306,752.2519017660306,752.2519017660306,752.2519017660306,0.0,0.0,0.0,7167.512373226363,22.71747599064872
2039-01-01,6527.121145762171,6670.755822514838,7891.346139658308,6518.1106418271775,6536.019602448341,770.6374492963716,770.6374492963716,770.6374492963716,770.6374492963716,770.6374492963716,770.6374492963716,0.0,0.0,0.0,7297.758595058543,22.78835283387331
2040-01-01,6638.98182006401,6821.279841628043,8022.629780719695,6629.325954345433,6648.480647496907,809.7044684283155,809.7044684283155,809.7044684283155,809.7044684283155,809.7044684283155,809.7044684283155,0.0,0.0,0.0,7448.686288492326,22.92080484606764
2041-01-01,6751.148961966676,6897.22771224791,8088.736979309606,6740.897112094249,6761.3727604166015,754.5628921300789,754.5628921300789,754.5628921300789,754.5628921300789,754.5628921300789,754.5628921300789,0.0,0.0,0.0,7505.711854096755,22.76465021481723
2042-01-01,6863.009636268515,6987.467533045593,8221.64070850025,6852.112856285289,6873.722265916758,752.2519017659721,752.2519017659721,752.2519017659721,752.2519017659721,752.2519017659721,752.2519017659721,0.0,0.0,0.0,7615.261538034488,22.769965862381643
2043-01-01,6974.870310570355,7151.715569220032,8340.720206320093,6963.451356431366,6986.080340998575,770.6374492968616,770.6374492968616,770.6374492968616,770.6374492968616,770.6374492968616,770.6374492968616,0.0,0.0,0.0,7745.507759867217,22.83615291633704
2044-01-01,7086.730984872193,7271.430451167981,8465.156350612504,7074.806220183243,7098.529667179411,809.7044684282454,809.7044684282454,809.7044684282454,809.7044684282454,809.7044684282454,809.7044684282454,0.0,0.0,0.0,7896.435453300439,22.960653758842973
2045-01-01,7198.8981267748595,7343.359479354011,8583.082120017969,7186.344479121157,7211.449529170193,754.5628921302166,754.5628921302166,754.5628921302166,754.5628921302166,754.5628921302166,754.5628921302166,0.0,0.0,0.0,7953.461018905076,22.81243957428586
2046-01-01,7310.758801076698,7446.969246295397,8638.135078905052,7297.469621300491,7323.977569892238,752.2519017660787,752.2519017660787,752.2519017660787,752.2519017660787,752.2519017660787,752.2519017660787,0.0,0.0,0.0,8063.0107028427765,22.816830143361052
2047-01-01,7422.619475378537,7577.44856856982,8809.512582213443,7408.533729877877,7436.608630118266,770.6374492967863,770.6374492967863,770.6374492967863,770.6374492967863,770.6374492967863,770.6374492967863,0.0,0.0,0.0,8193.256924675323,22.87889775947897
2048-01-01,7534.480149680375,7760.670157278639,9020.4791543148,7519.544198873285,7549.384440964345,809.7044684278073,809.7044684278073,809.7044684278073,809.7044684278073,809.7044684278073,809.7044684278073,0.0,0.0,0.0,8344.184618108182,22.996343317404563
2049-01-01,7646.647291583041,7802.59599772142,9030.955006738417,7630.9434684479675,7662.21526948178,754.562892130084,754.562892130084,754.562892130084,754.562892130084,754.562892130084,754.562892130084,0.0,0.0,0.0,8401.210183713125,22.85530501439523
2050-01-01,7758.507965884879,7909.827657319677,9175.428936033832,7741.950074963351,7774.716424147394,752.2519017661048,752.2519017661048,752.2519017661048,752.2519017661048,752.2519017661048,752.2519017661048,0.0,0.0,0.0,8510.759867650984,22.85892721726784
2051-01-01,7870.368640186721,8025.236179845336,9288.537689738427,7853.180795219036,7887.123073167736,770.637449296486,770.637449296486,770.637449296486,770.637449296486,770.637449296486,770.637449296486,0.0,0.0,0.0,8641.006089483206,22.917349034611515
2052-01-01,7982.229314488559,8215.415242670533,9371.884539726194,7964.13166193453,7999.782974349674,809.7044684283064,809.7044684283064,809.7044684283064,809.7044684283064,809.7044684283064,809.7044684283064,0.0,0.0,0.0,8791.933782916865,23.02849243933176
